Start..s.,End..s.,Scientific.name,Common.name,Confidence,Date_Time,Site
21,24,Troglodytes troglodytes,Eurasian Wren,0.8438,20230502_111200,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.9279,20230502_111800,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.9094,20230502_111800,B111
27,30,Troglodytes troglodytes,Eurasian Wren,0.8223,20230502_111800,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8527,20230502_121800,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9039,20230502_121800,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8288,20230502_143000,B111
39,42,Psittacula krameri,Rose-ringed Parakeet,0.812,20230502_162400,B111
45,48,Psittacula krameri,Rose-ringed Parakeet,0.8305,20230502_162400,B111
48,51,Psittacula krameri,Rose-ringed Parakeet,0.8388,20230502_162400,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.895,20230502_162400,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8506,20230503_091200,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.8553,20230503_093600,B111
51,54,Troglodytes troglodytes,Eurasian Wren,0.8396,20230503_093600,B111
33,36,Psittacula krameri,Rose-ringed Parakeet,0.8982,20230503_101200,B111
51,54,Psittacula krameri,Rose-ringed Parakeet,0.8758,20230503_101200,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8896,20230503_102400,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8484,20230503_111800,B111
54,57,Troglodytes troglodytes,Eurasian Wren,0.8163,20230503_114800,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.9306,20230503_115400,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8955,20230503_115400,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8812,20230504_050000,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8015,20230504_070600,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8055,20230504_071200,B111
39,42,Aegithalos caudatus,Long-tailed Tit,0.9603,20230504_073600,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8343,20230504_093600,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8017,20230504_110600,B111
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8555,20230504_131200,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.8053,20230504_132400,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8925,20230505_063600,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8822,20230505_063600,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8695,20230505_063600,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8702,20230505_064200,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9586,20230505_064200,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8159,20230505_064200,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8005,20230505_080000,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8487,20230505_091800,B111
21,24,Troglodytes troglodytes,Eurasian Wren,0.8438,file_name,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.9279,file_name,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.9094,file_name,B111
27,30,Troglodytes troglodytes,Eurasian Wren,0.8223,file_name,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8527,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9039,file_name,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8288,file_name,B111
39,42,Psittacula krameri,Rose-ringed Parakeet,0.812,file_name,B111
45,48,Psittacula krameri,Rose-ringed Parakeet,0.8305,file_name,B111
48,51,Psittacula krameri,Rose-ringed Parakeet,0.8388,file_name,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.895,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8506,file_name,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.8553,file_name,B111
51,54,Troglodytes troglodytes,Eurasian Wren,0.8396,file_name,B111
33,36,Psittacula krameri,Rose-ringed Parakeet,0.8982,file_name,B111
51,54,Psittacula krameri,Rose-ringed Parakeet,0.8758,file_name,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8896,file_name,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8484,file_name,B111
54,57,Troglodytes troglodytes,Eurasian Wren,0.8163,file_name,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.9306,file_name,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8955,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8812,file_name,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8015,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8055,file_name,B111
39,42,Aegithalos caudatus,Long-tailed Tit,0.9603,file_name,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8343,file_name,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8017,file_name,B111
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8555,file_name,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.8053,file_name,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8925,file_name,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8822,file_name,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8695,file_name,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8702,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9586,file_name,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8159,file_name,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8005,file_name,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8487,file_name,B111
21,24,Troglodytes troglodytes,Eurasian Wren,0.8438,output,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.9279,output,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.9094,output,B111
27,30,Troglodytes troglodytes,Eurasian Wren,0.8223,output,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8527,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9039,output,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8288,output,B111
39,42,Psittacula krameri,Rose-ringed Parakeet,0.812,output,B111
45,48,Psittacula krameri,Rose-ringed Parakeet,0.8305,output,B111
48,51,Psittacula krameri,Rose-ringed Parakeet,0.8388,output,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.895,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8506,output,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.8553,output,B111
51,54,Troglodytes troglodytes,Eurasian Wren,0.8396,output,B111
33,36,Psittacula krameri,Rose-ringed Parakeet,0.8982,output,B111
51,54,Psittacula krameri,Rose-ringed Parakeet,0.8758,output,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8896,output,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8484,output,B111
54,57,Troglodytes troglodytes,Eurasian Wren,0.8163,output,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.9306,output,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8955,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8812,output,B111
15,18,Troglodytes troglodytes,Eurasian Wren,0.8015,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8055,output,B111
39,42,Aegithalos caudatus,Long-tailed Tit,0.9603,output,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8343,output,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8017,output,B111
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8555,output,B111
54,57,Psittacula krameri,Rose-ringed Parakeet,0.8053,output,B111
3,6,Troglodytes troglodytes,Eurasian Wren,0.8925,output,B111
6,9,Troglodytes troglodytes,Eurasian Wren,0.8822,output,B111
18,21,Troglodytes troglodytes,Eurasian Wren,0.8695,output,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.8702,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.9586,output,B111
57,60,Troglodytes troglodytes,Eurasian Wren,0.8159,output,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8005,output,B111
45,48,Troglodytes troglodytes,Eurasian Wren,0.8487,output,B111
51,54,Troglodytes troglodytes,Eurasian Wren,0.8964,20230506_063600,B111
51,54,Troglodytes troglodytes,Eurasian Wren,0.8326,20230506_064200,B111
54,57,Troglodytes troglodytes,Eurasian Wren,0.9075,20230506_064200,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.8717,20230506_070000,B111
30,33,Troglodytes troglodytes,Eurasian Wren,0.8561,20230506_070000,B111
9,12,Troglodytes troglodytes,Eurasian Wren,0.8418,20230506_090600,B111
12,15,Troglodytes troglodytes,Eurasian Wren,0.9401,20230506_090600,B111
24,27,Troglodytes troglodytes,Eurasian Wren,0.8574,20230506_090600,B111
33,36,Troglodytes troglodytes,Eurasian Wren,0.9037,20230506_093600,B111
24,27,Erithacus rubecula,European Robin,0.8754,20230507_083600,B111
9,12,Psittacula krameri,Rose-ringed Parakeet,0.8804,20230507_161800,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.9292,20230508_180000,B111
36,39,Troglodytes troglodytes,Eurasian Wren,0.9092,20230508_182400,B111
0,3,Troglodytes troglodytes,Eurasian Wren,0.8515,20230509_050600,B111
24,27,Troglodytes troglodytes,Eurasian Wren,0.8555,20230509_062400,B111
39,42,Turdus iliacus,Redwing,0.9586,20230509_073000,B111
12,15,Parus major,Great Tit,0.8558,20230509_144800,B111
24,27,Troglodytes troglodytes,Eurasian Wren,0.8234,20230502_103000,B112
39,42,Troglodytes troglodytes,Eurasian Wren,0.8047,20230502_103000,B112
51,54,Troglodytes troglodytes,Eurasian Wren,0.809,20230502_103000,B112
39,42,Troglodytes troglodytes,Eurasian Wren,0.8071,20230503_074800,B112
42,45,Troglodytes troglodytes,Eurasian Wren,0.8143,20230503_084200,B112
3,6,Troglodytes troglodytes,Eurasian Wren,0.832,20230503_124800,B112
15,18,Troglodytes troglodytes,Eurasian Wren,0.8667,20230504_080600,B112
12,15,Troglodytes troglodytes,Eurasian Wren,0.8237,20230504_081800,B112
48,51,Troglodytes troglodytes,Eurasian Wren,0.8591,20230504_111800,B112
21,24,Troglodytes troglodytes,Eurasian Wren,0.8381,20230504_112400,B112
27,30,Troglodytes troglodytes,Eurasian Wren,0.8593,20230504_114200,B112
9,12,Erithacus rubecula,European Robin,0.8882,20230504_120600,B112
0,3,Psittacula krameri,Rose-ringed Parakeet,0.8774,20230504_163600,B112
18,21,Psittacula krameri,Rose-ringed Parakeet,0.9012,20230505_072400,B112
3,6,Psittacula krameri,Rose-ringed Parakeet,0.859,20230505_084200,B112
0,3,Garrulus glandarius,Eurasian Jay,0.9115,20230505_091200,B112
27,30,Troglodytes troglodytes,Eurasian Wren,0.8327,20230505_101800,B112
51,54,Troglodytes troglodytes,Eurasian Wren,0.8104,20230505_102400,B112
15,18,Troglodytes troglodytes,Eurasian Wren,0.8702,20230506_052400,B112
30,33,Troglodytes troglodytes,Eurasian Wren,0.8214,20230506_052400,B112
57,60,Psittacula krameri,Rose-ringed Parakeet,0.8463,20230506_073000,B112
57,60,Psittacula krameri,Rose-ringed Parakeet,0.8781,20230506_083000,B112
48,51,Psittacula krameri,Rose-ringed Parakeet,0.8864,20230506_094800,B112
57,60,Psittacula krameri,Rose-ringed Parakeet,0.8588,20230506_094800,B112
21,24,Troglodytes troglodytes,Eurasian Wren,0.8033,20230507_053600,B112
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8695,20230507_074200,B112
3,6,Psittacula krameri,Rose-ringed Parakeet,0.8533,20230507_082400,B112
9,12,Psittacula krameri,Rose-ringed Parakeet,0.801,20230507_082400,B112
24,27,Psittacula krameri,Rose-ringed Parakeet,0.9129,20230507_082400,B112
33,36,Psittacula krameri,Rose-ringed Parakeet,0.8751,20230507_082400,B112
36,39,Psittacula krameri,Rose-ringed Parakeet,0.9291,20230507_082400,B112
39,42,Psittacula krameri,Rose-ringed Parakeet,0.9076,20230507_082400,B112
42,45,Psittacula krameri,Rose-ringed Parakeet,0.9047,20230507_082400,B112
54,57,Psittacula krameri,Rose-ringed Parakeet,0.9298,20230507_082400,B112
57,60,Psittacula krameri,Rose-ringed Parakeet,0.9299,20230507_082400,B112
0,3,Psittacula krameri,Rose-ringed Parakeet,0.8062,20230507_083000,B112
3,6,Psittacula krameri,Rose-ringed Parakeet,0.8987,20230507_083000,B112
12,15,Psittacula krameri,Rose-ringed Parakeet,0.8849,20230507_083000,B112
36,39,Troglodytes troglodytes,Eurasian Wren,0.8091,20230507_133000,B112
54,57,Troglodytes troglodytes,Eurasian Wren,0.8332,20230508_051200,B112
21,24,Troglodytes troglodytes,Eurasian Wren,0.8313,20230508_051800,B112
6,9,Troglodytes troglodytes,Eurasian Wren,0.8081,20230508_061200,B112
9,12,Troglodytes troglodytes,Eurasian Wren,0.8009,20230508_061200,B112
