"","Start..s.","End..s.","Scientific.name","Common.name","Confidence","Date_Time","Site"
"6",33,36,"Sylvia atricapilla","Eurasian Blackcap",0.8798,"20230518_160600","1"
"130",30,33,"Turdus merula","Eurasian Blackbird",0.8002,"20230518_191200","1"
"188",42,45,"Troglodytes troglodytes","Eurasian Wren",0.926,"20230518_200600","1"
"189",51,54,"Troglodytes troglodytes","Eurasian Wren",0.9552,"20230518_200600","1"
"201",0,3,"Turdus merula","Eurasian Blackbird",0.8322,"20230518_202400","1"
"203",6,9,"Turdus merula","Eurasian Blackbird",0.9689,"20230518_202400","1"
"206",18,21,"Turdus merula","Eurasian Blackbird",0.815,"20230518_202400","1"
"208",24,27,"Turdus merula","Eurasian Blackbird",0.9491,"20230518_202400","1"
"209",27,30,"Turdus merula","Eurasian Blackbird",0.9289,"20230518_202400","1"
"301",6,9,"Troglodytes troglodytes","Eurasian Wren",0.916,"20230519_044800","1"
"305",18,21,"Troglodytes troglodytes","Eurasian Wren",0.8884,"20230519_044800","1"
"307",27,30,"Troglodytes troglodytes","Eurasian Wren",0.8092,"20230519_044800","1"
"331",27,30,"Troglodytes troglodytes","Eurasian Wren",0.8701,"20230519_050600","1"
"333",36,39,"Turdus merula","Eurasian Blackbird",0.8752,"20230519_050600","1"
"337",51,54,"Troglodytes troglodytes","Eurasian Wren",0.9066,"20230519_050600","1"
"341",6,9,"Troglodytes troglodytes","Eurasian Wren",0.9608,"20230519_051200","1"
"346",18,21,"Troglodytes troglodytes","Eurasian Wren",0.95,"20230519_051200","1"
"349",33,36,"Troglodytes troglodytes","Eurasian Wren",0.9129,"20230519_051200","1"
"350",42,45,"Troglodytes troglodytes","Eurasian Wren",0.9651,"20230519_051200","1"
"351",45,48,"Troglodytes troglodytes","Eurasian Wren",0.8367,"20230519_051200","1"
"356",9,12,"Troglodytes troglodytes","Eurasian Wren",0.9068,"20230519_051800","1"
"357",12,15,"Troglodytes troglodytes","Eurasian Wren",0.8706,"20230519_051800","1"
"358",24,27,"Troglodytes troglodytes","Eurasian Wren",0.939,"20230519_051800","1"
"359",27,30,"Troglodytes troglodytes","Eurasian Wren",0.9177,"20230519_051800","1"
